
Gurobi 9.1.2 (win64, Java) logging started Sun Dec 19 02:25:28 2021

Academic license - for non-commercial use only - expires 2022-09-02
Gurobi Optimizer version 9.1.2 build v9.1.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 8269650 rows, 2250 columns and 24810750 nonzeros
Model fingerprint: 0x3daf47ae
Variable types: 0 continuous, 2250 integer (2250 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 9.0000000
Presolve removed 0 rows and 0 columns (presolve time = 11s) ...
Presolve removed 0 rows and 0 columns (presolve time = 32s) ...
Presolve removed 0 rows and 0 columns (presolve time = 48s) ...
Presolve time: 48.25s
Presolved: 8269650 rows, 2250 columns, 24810750 nonzeros
Variable types: 0 continuous, 2250 integer (2250 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
 1474519    8.6332982e+01   0.000000e+00   1.230943e+07   1050s
 1483099    8.6276368e+01   0.000000e+00   1.716226e+07   1055s
 1490401    8.6243272e+01   0.000000e+00   1.373506e+07   1060s
 1497694    8.6229408e+01   0.000000e+00   7.382333e+06   1065s
 1505417    8.6203552e+01   0.000000e+00   7.133076e+06   1070s
 1513569    8.6182214e+01   0.000000e+00   2.827944e+07   1075s
 1520887    8.6145537e+01   0.000000e+00   4.485734e+06   1080s
 1528180    8.6076391e+01   0.000000e+00   1.457506e+07   1085s
 1535909    8.6029678e+01   0.000000e+00   3.498663e+06   1090s
 1544060    8.5960474e+01   0.000000e+00   2.536259e+07   1095s
 1551782    8.5887357e+01   0.000000e+00   3.448291e+07   1100s
 1560362    8.5842038e+01   0.000000e+00   1.223406e+07   1105s
 1567655    8.5802143e+01   0.000000e+00   5.715560e+06   1110s
 1575806    8.5769871e+01   0.000000e+00   1.840439e+07   1115s
 1583957    8.5726114e+01   0.000000e+00   1.145934e+07   1120s
 1592108    8.5698266e+01   0.000000e+00   1.797534e+07   1125s
 1600259    8.5662818e+01   0.000000e+00   3.027758e+06   1130s
 1607981    8.5605719e+01   0.000000e+00   1.251315e+07   1135s
 1616561    8.5550257e+01   0.000000e+00   5.023960e+06   1140s
 1625144    8.5512700e+01   0.000000e+00   2.769866e+07   1145s
 1633295    8.5401863e+01   0.000000e+00   8.558276e+06   1150s
 1641875    8.5312901e+01   0.000000e+00   5.162670e+07   1155s
 1650040    8.5217709e+01   0.000000e+00   2.824263e+06   1160s
 1658191    8.5151751e+01   0.000000e+00   2.103856e+07   1165s
 1665913    8.5091286e+01   0.000000e+00   9.011277e+06   1170s
 1673635    8.5060451e+01   0.000000e+00   2.869782e+07   1175s
 1681786    8.5011760e+01   0.000000e+00   4.010164e+06   1180s
 1689079    8.4954341e+01   0.000000e+00   4.000210e+06   1185s
 1697659    8.4870456e+01   0.000000e+00   6.275853e+06   1190s
 1705381    8.4831603e+01   0.000000e+00   5.375154e+06   1195s
 1713103    8.4807588e+01   0.000000e+00   1.106668e+07   1200s
 1720396    8.4772970e+01   0.000000e+00   3.989895e+07   1205s
 1728118    8.4697113e+01   0.000000e+00   1.947084e+07   1210s
 1735840    8.4599707e+01   0.000000e+00   1.596487e+07   1215s
 1743991    8.4560062e+01   0.000000e+00   1.868235e+07   1220s
 1751284    8.4510982e+01   0.000000e+00   1.377887e+07   1225s
 1759006    8.4473593e+01   0.000000e+00   9.616140e+06   1230s
 1766728    8.4409569e+01   0.000000e+00   4.510263e+07   1235s
 1774879    8.4384442e+01   0.000000e+00   1.515659e+07   1240s
 1783030    8.4323953e+01   0.000000e+00   2.863432e+07   1245s
 1790752    8.4299527e+01   0.000000e+00   4.615188e+06   1250s
 1798474    8.4268979e+01   0.000000e+00   1.215857e+07   1255s
 1805338    8.4235674e+01   0.000000e+00   1.564939e+07   1260s
 1813489    8.4183218e+01   0.000000e+00   6.263713e+06   1265s
 1821211    8.4131927e+01   0.000000e+00   1.991549e+07   1270s
 1828936    8.4086758e+01   0.000000e+00   1.091896e+07   1275s
 1837087    8.4061081e+01   0.000000e+00   4.964612e+06   1280s
